location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex,price_per_meter
Серпухов,4,5,2,45.5,5380000.0,1971,Вторичка,1 балкон,Наземная,-1,"32,5 м²",6 м²,"2,6 м",Советская ,103,0,118242
Серпухов,1,1,2,46.0,3650000.0,1957,Вторичка,-1,Наземная,-1,-1,6 м²,-1, Водников,14/17,0,79348
Серпухов,7,9,2,42.9,4500000.0,1971,Вторичка,1 балкон,Наземная,-1,"27,4 м²","5,7 м²","2,5 м", Дзержинского,40,0,104895
Серпухов,2,14,2,38.4,6700000.0,2013,Вторичка,2 лоджии,Наземная,-1,17 м²,11 м²,-1, Ворошилова,143бк2,по ул. Ворошилова,174479
Серпухов,1,9,2,48.0,4200000.0,1981,Вторичка,-1,-1,-1,-1,11 м²,-1,проезд Мишина,14,0,87500
Серпухов,2,2,2,71.3,6700000.0,-1,Вторичка,1 лоджия,-1,-1,28 м²,8 м²,-1,Советская ,16,0,93969
Серпухов,2,5,2,47.0,4999999.0,1972,Вторичка,1 лоджия,-1,-1,33 м²,"7,5 м²","2,7 м", Ворошилова,165а,0,106383
Серпухов,4,14,2,64.0,9200000.0,-1,Вторичка,1 лоджия,Наземная,-1,39 м²,"13,5 м²","2,7 м",Стадионная ,1к1,Жемчужина,143750
Серпухов,1,2,2,40.0,3700000.0,1959,Вторичка,-1,Наземная,-1,27 м²,5 м²,"2,5 м",Октябрьская ,20,0,92500
Серпухов,2,5,2,47.0,4050000.0,1971,Вторичка,1 балкон,-1,-1,34 м²,"6,5 м²","2,6 м",Подольская ,109,0,86170
Серпухов,6,6,2,56.8,4950000.0,2004,Вторичка,-1,Наземная,-1,30 м²,10 м²,3 м, Карла Маркса,2,0,87148
Серпухов,1,5,2,44.7,3900000.0,1968,Вторичка,-1,-1,-1,"30,7 м²","5,8 м²",-1,Центральная ,158,0,87248
Серпухов,1,4,2,41.0,3499888.0,1962,Вторичка,-1,-1,-1,29 м²,6 м²,"2,7 м", Горького,16,0,85363
Серпухов,4,5,2,45.9,3850000.0,1969,Вторичка,1 балкон,Наземная,-1,-1,6 м²,-1,Весенняя ,52,0,83878
Серпухов,4,9,2,52.0,7300000.0,-1,Вторичка,-1,-1,-1,38 м²,9 м²,-1, Красный Текстильщик,12,0,140385
Серпухов,5,5,2,53.5,4999999.0,1973,Вторичка,1 лоджия,-1,-1,"28,9 м²",9 м²,-1, Энгельса,31,0,93458
